item_seq,item_name,ingr_code,ingr_name_ko,ingr_name_en,atc_code,synonyms,성상,의약품제형,색상앞,표시앞,표시뒤,severity_class,label_section,dili_status
201204602,비아그라엘구강붕해필름100밀리그램(실데나필시트르산염),M252789,실데나필시트르산염,Sildenafil Citrate,G04BE03,[],직사각형의연한분홍색구강붕해필름,사각형,분홍,-,-,3.0,Adverse reactions,vLess-DILI-concern
201204603,비아그라엘구강붕해필름50밀리그램(실데나필시트르산염),M252789,실데나필시트르산염,Sildenafil Citrate,G04BE03,[],직사각형의연한파란색구강붕해필름,사각형,파랑,-,-,3.0,Adverse reactions,vLess-DILI-concern
201204672,고프레노즈연질캡슐,M223211,클로르페니라민말레산염,Acetaminophen/Pseudoephedrine Hydrochloride/Chlorpheniramine Maleate,R05X,"[""슈도에페드린염산염"", ""아세트아미노펜""]",미황색내지연한녹색의내용물을함유한녹색의투명한장방형연질캡슐,타원형,초록|투명,고프레노즈,-,5.0,Warnings & precautions,vMost-DILI-concern
201204675,피엠지폴산정,M223289,폴산,Folic Acid,B03BB01,[],연한노란색의원형정제,원형,노랑,PU,12,0.0,No match,vNo-DILI-concern
201204813,인코라민스페셜정,M223015,DL-메티오닌,Benfotiamine/Riboflavin/Nicotinamide/Calcium Pantothenate/Pyridoxine Hydrochloride/Cyanocobalamin Powder 0.1%/Inositol/D-Biotin/Choline Tartrate/Folic Acid/Zinc Oxide/Ascorbic Acid Granules 97%/Selenium In Dried Yeast/Cholecalciferol Granules/Magnesium Oxide/Anhydrous Dibasic Calcium Phosphate/Gamma-Oryzanol/DL-Methionine,A11JC,"[""산화마그네슘"", ""폴산"", ""벤포티아민"", ""γ-오리자놀"", ""시아노코발라민1000배산"", ""콜레칼시페롤과립"", ""d-비오틴"", ""무수인산수소칼슘"", ""리보플라빈"", ""아스코르브산97%과립"", ""셀레늄함유건조효모"", ""산화아연"", ""콜린타르타르산염"", ""판토텐산칼슘"", ""니코틴산아미드"", ""이노시톨"", ""피리독신염산염""]",연한노란색의장방형필름코팅정,장방형,노랑,CKD,B,0.0,No match,vNo-DILI-concern
201204931,크리콜론정,M083252,인산이수소나트륨일수화물,Anhydrous Dibasic Sodium Phosphate/Monobasic Sodium Phosphate Monohydrate,A06AD17,"[""인산수소나트륨무수물""]",흰색의장방형정제,장방형,하양,S분할선+,분할선,,No Match,vNo-Data
201204970,이레나필정100밀리그램(실데나필시트르산염),M252789,실데나필시트르산염,Sildenafil Citrate,G04BE03,[],육각형의푸른색필름코팅정,육각형,파랑,W분할선I,100,3.0,Adverse reactions,vLess-DILI-concern
201204971,아그나필정100mg(실데나필시트르산염),M252789,실데나필시트르산염,Sildenafil Citrate,G04BE03,[],육각형의푸른색필름코팅정,육각형,파랑,DWP,S1분할선00,3.0,Adverse reactions,vLess-DILI-concern
201204975,비아맥스정100밀리그램(실데나필시트르산염),M252789,실데나필시트르산염,Sildenafil Citrate,G04BE03,[],육각형의푸른색필름코팅정,육각형,파랑,ΛJU,1분할선00,3.0,Adverse reactions,vLess-DILI-concern
201205036,해피그라정100밀리그램(실데나필시트르산염),M252789,실데나필시트르산염,Sildenafil Citrate,G04BE03,[],타원형의파란색필름코팅정,타원형,파랑,S분할선J,100,3.0,Adverse reactions,vLess-DILI-concern
201205037,해피그라정50밀리그램(실데나필시트르산염),M252789,실데나필시트르산염,Sildenafil Citrate,G04BE03,[],타원형의파란색필름코팅정,타원형,파랑,S분할선J,50,3.0,Adverse reactions,vLess-DILI-concern
201205038,리록스정(록소프로펜나트륨수화물),M222839,록소프로펜나트륨수화물,Loxoprofen Sodium Hydrate,M01AE19,[],흰색내지미백색의원형정제,원형,하양,LXQ분할선LXQ,-,,No Match,vNo-Data
201205043,고운자임맘정,M040262,산화마그네슘,Ubidecarenone/Cholecalciferol Concentrate Powder/Tocopherol Acetate Powder 50%/Ascorbic Acid Coated/Folic Acid/Riboflavin/Thiamine Nitrate/Nicotinamide/Pyridoxine Hydrochloride/Cyanocobalamin 1%/Biotin/Calcium Pantothenate/Ferrous Fumarate/Cupric Oxide/Zinc Oxide/Manganese Sulfate Hydrate/Magnesium Oxide,A11AA01,"[""티아민질산염"", ""산화제이구리"", ""폴산"", ""제피아스코르브산"", ""시아노코발라민 1%"", ""토코페롤아세테이트 2배산"", ""황산망간수화물"", ""비오틴"", ""리보플라빈"", ""유비데카레논"", ""콜레칼시페롤농축분말"", ""산화아연"", ""판토텐산칼슘"", ""니코틴산아미드"", ""푸마르산철"", ""피리독신염산염""]",분홍색의물방울형필름코팅정,기타,분홍,마크,Mom,0.0,No match,vNo-DILI-concern
201205150,위스날정,M050448,메타규산알루민산마그네슘,Diastase·Protease/Sodium Bicarbonate/Magnesium Aluminometasilicate,A09A,"[""탄산수소나트륨"", ""디아스타제·프로테아제""]",백색원형의필름코팅정,원형,하양,WS,-,0.0,No match,vNo-DILI-concern
201205244,이벨탄플러스정150/12.5밀리그램,M223356,히드로클로로티아지드,Irbesartan/Hydrochlorothiazide,C09DA04,"[""이르베사르탄""]",분홍색의양면이볼록한장방형의필름코팅정제,타원형,분홍,IVL,150,5.0,Adverse reactions,vLess-DILI-concern
201205245,이벨탄플러스정300/12.5밀리그램,M223356,히드로클로로티아지드,Irbesartan/Hydrochlorothiazide,C09DA04,"[""이르베사르탄""]",분홍색의양면이볼록한장방형의필름코팅정제,타원형,분홍,IVL,300,5.0,Adverse reactions,vLess-DILI-concern
201205250,리포액틴정20밀리그램(아토르바스타틴칼슘삼수화물),M215219,아토르바스타틴칼슘삼수화물,Atorvastatin Calcium Trihydrate,C10AA05,[],흰색의원형필름코팅정,원형,하양,AG,AV2,,No Match,vNo-Data
201205251,애드민포르테정(콜레칼시페롤과립),M099907,콜레칼시페롤과립,Cholecalciferol Granules,A11CC05,[],흰색내지흰노랑의마름모형정제,마름모형,하양,PNX,분할선,,No Match,vNo-Data
201205252,카듀엣정10/20밀리그램(암로디핀베실산염/아토르바스타틴칼슘삼수화물),M222875,암로디핀베실산염,Atorvastatin Calcium Trihydrate/Amlodipine Besylate,C10BX03,"[""아토르바스타틴칼슘삼수화물""]",파란색의타원형필름코팅정,타원형,파랑,-,CDT102,5.0,Adverse reactions,vLess-DILI-concern
201205253,리바로정4밀리그램(피타바스타틴칼슘수화물),M269365,피타바스타틴칼슘수화물,Pitavastatin Calcium Hydrate,C10AA08,[],중앙에선이있는담황색의원형필름코팅정,원형,노랑,마크203,분할선,,No Match,vNo-Data
201205255,발트리스정500mg(발라시클로비르염산염수화물),M256855,발라시클로비르염산염수화물,Valaciclovir Hydrochloride Hydrate,J05AB11,[],흰색의양면이볼록한장방형의필름코팅정제,장방형,하양,VCT,마크,,No Match,vNo-Data
201205259,악토넬EC정35밀리그램(리세드론산나트륨2.5수화물),M249411,리세드론산나트륨2.5수화물,Risedronate Sodium 2.5 Hydrate,M05BA07,[],한면에‘EC35'가새겨진노란색의타원형필름코팅정,타원형,노랑,EC35,-,,No Match,vNo-Data
201205260,팔팔츄정25밀리그램(실데나필),M253237,실데나필,Sildenafil,G04BE03,[],연한파란색의씹어먹는원형정제,원형,파랑,SCT25,-,,No Match,vNo-Data
201205261,올로프리정(올로파타딘염산염),M233188,올로파타딘염산염,Olopatadine Hydrochloride,R06AX,[],담황적색의원형필름코팅정제,원형,분홍,OP분할선HS,-,,No Match,vNo-Data
201205262,환인날트렉손정50밀리그램(날트렉손염산염),M254702,날트렉손염산염,Naltrexone Hydrochloride,N07BB04,[],옅은황색의장방형필름코팅정,장방형,노랑,NTX,분할선,3.0,Warnings & precautions,Ambiguous-DILI-concern
